Modelo,Escenario,Varianza,Paso,ECRPS_Mean
AREPD,Estacionario_Lineal,0.2,1,0.26869276493894834
AREPD,Estacionario_Lineal,0.2,2,0.31203711306688126
AREPD,Estacionario_Lineal,0.2,3,0.3049959866982061
AREPD,Estacionario_Lineal,0.2,4,0.33938765444548247
AREPD,Estacionario_Lineal,0.2,5,0.3193056642203036
AREPD,Estacionario_Lineal,0.5,1,0.48136533190455055
AREPD,Estacionario_Lineal,0.5,2,0.4971615544003445
AREPD,Estacionario_Lineal,0.5,3,0.5442777639416193
AREPD,Estacionario_Lineal,0.5,4,0.5578735495497235
AREPD,Estacionario_Lineal,0.5,5,0.4963352687131641
AREPD,Estacionario_Lineal,1.0,1,0.6776944154818868
AREPD,Estacionario_Lineal,1.0,2,0.7892283147612623
AREPD,Estacionario_Lineal,1.0,3,0.7176636299661356
AREPD,Estacionario_Lineal,1.0,4,0.7120651262388304
AREPD,Estacionario_Lineal,1.0,5,0.7217946247305039
AREPD,Estacionario_Lineal,3.0,1,1.2411799937651302
AREPD,Estacionario_Lineal,3.0,2,1.3521906331926923
AREPD,Estacionario_Lineal,3.0,3,1.3113648415660406
AREPD,Estacionario_Lineal,3.0,4,1.331402739045779
AREPD,Estacionario_Lineal,3.0,5,1.1773301923193822
AREPD,No_Estacionario_Lineal,0.2,1,3.535240168080814
AREPD,No_Estacionario_Lineal,0.2,2,3.590917046731899
AREPD,No_Estacionario_Lineal,0.2,3,3.8098002223174294
AREPD,No_Estacionario_Lineal,0.2,4,3.8769014531984713
AREPD,No_Estacionario_Lineal,0.2,5,4.039746842178422
AREPD,No_Estacionario_Lineal,0.5,1,6.7098043583110805
AREPD,No_Estacionario_Lineal,0.5,2,7.047543224619159
AREPD,No_Estacionario_Lineal,0.5,3,7.133876415249913
AREPD,No_Estacionario_Lineal,0.5,4,7.154597189897824
AREPD,No_Estacionario_Lineal,0.5,5,7.3157782942783065
AREPD,No_Estacionario_Lineal,1.0,1,9.278787258445252
AREPD,No_Estacionario_Lineal,1.0,2,9.204975053348951
AREPD,No_Estacionario_Lineal,1.0,3,9.343418221580407
AREPD,No_Estacionario_Lineal,1.0,4,9.09502266095799
AREPD,No_Estacionario_Lineal,1.0,5,9.209553350224658
AREPD,No_Estacionario_Lineal,3.0,1,17.957768807109122
AREPD,No_Estacionario_Lineal,3.0,2,18.199544013803102
AREPD,No_Estacionario_Lineal,3.0,3,18.524515510477094
AREPD,No_Estacionario_Lineal,3.0,4,18.18898003651662
AREPD,No_Estacionario_Lineal,3.0,5,18.122526709674094
AREPD,No_Lineal,0.2,1,0.27752487286145777
AREPD,No_Lineal,0.2,2,0.28366847725510164
AREPD,No_Lineal,0.2,3,0.3088770177875214
AREPD,No_Lineal,0.2,4,0.34234228418256335
AREPD,No_Lineal,0.2,5,0.3258455935254369
AREPD,No_Lineal,0.5,1,0.44516932370878787
AREPD,No_Lineal,0.5,2,0.46599738283802117
AREPD,No_Lineal,0.5,3,0.5086112196979223
AREPD,No_Lineal,0.5,4,0.4796025830150491
AREPD,No_Lineal,0.5,5,0.4832460888939439
AREPD,No_Lineal,1.0,1,0.6207202310327309
AREPD,No_Lineal,1.0,2,0.6930255457528555
AREPD,No_Lineal,1.0,3,0.6937329856962103
AREPD,No_Lineal,1.0,4,0.7906790053731984
AREPD,No_Lineal,1.0,5,0.680499745303017
AREPD,No_Lineal,3.0,1,1.0356386520829872
AREPD,No_Lineal,3.0,2,1.269923085471046
AREPD,No_Lineal,3.0,3,1.2260046917246814
AREPD,No_Lineal,3.0,4,1.193686291992379
AREPD,No_Lineal,3.0,5,1.2966199661840498
AV-MCPS,Estacionario_Lineal,0.2,1,0.257673617700431
AV-MCPS,Estacionario_Lineal,0.2,2,0.28715011698572795
AV-MCPS,Estacionario_Lineal,0.2,3,0.29049629186279824
AV-MCPS,Estacionario_Lineal,0.2,4,0.279769233106502
AV-MCPS,Estacionario_Lineal,0.2,5,0.27024707625168604
AV-MCPS,Estacionario_Lineal,0.5,1,0.39919382101026274
AV-MCPS,Estacionario_Lineal,0.5,2,0.4879923852800671
AV-MCPS,Estacionario_Lineal,0.5,3,0.4878902733512152
AV-MCPS,Estacionario_Lineal,0.5,4,0.5002788404492672
AV-MCPS,Estacionario_Lineal,0.5,5,0.4560887313410999
AV-MCPS,Estacionario_Lineal,1.0,1,0.5825490629776042
AV-MCPS,Estacionario_Lineal,1.0,2,0.6115320640428461
AV-MCPS,Estacionario_Lineal,1.0,3,0.6258650105334767
AV-MCPS,Estacionario_Lineal,1.0,4,0.6345844437220987
AV-MCPS,Estacionario_Lineal,1.0,5,0.6342522558673913
AV-MCPS,Estacionario_Lineal,3.0,1,0.985432985397168
AV-MCPS,Estacionario_Lineal,3.0,2,1.1799221887493274
AV-MCPS,Estacionario_Lineal,3.0,3,1.1530941405391943
AV-MCPS,Estacionario_Lineal,3.0,4,1.1530306115268578
AV-MCPS,Estacionario_Lineal,3.0,5,1.1522854618235385
AV-MCPS,No_Estacionario_Lineal,0.2,1,0.5748088282016488
AV-MCPS,No_Estacionario_Lineal,0.2,2,0.7383704594497523
AV-MCPS,No_Estacionario_Lineal,0.2,3,0.9045435129664904
AV-MCPS,No_Estacionario_Lineal,0.2,4,1.0179075793097871
AV-MCPS,No_Estacionario_Lineal,0.2,5,0.9693665834416096
AV-MCPS,No_Estacionario_Lineal,0.5,1,0.8813794398906223
AV-MCPS,No_Estacionario_Lineal,0.5,2,1.555104231460243
AV-MCPS,No_Estacionario_Lineal,0.5,3,1.626154707293694
AV-MCPS,No_Estacionario_Lineal,0.5,4,1.892639971893565
AV-MCPS,No_Estacionario_Lineal,0.5,5,1.8266090779437336
AV-MCPS,No_Estacionario_Lineal,1.0,1,0.987087066933248
AV-MCPS,No_Estacionario_Lineal,1.0,2,1.6019843427631755
AV-MCPS,No_Estacionario_Lineal,1.0,3,2.1257004541953175
AV-MCPS,No_Estacionario_Lineal,1.0,4,2.507097240987233
AV-MCPS,No_Estacionario_Lineal,1.0,5,2.2136099787744548
AV-MCPS,No_Estacionario_Lineal,3.0,1,2.5311492518530625
AV-MCPS,No_Estacionario_Lineal,3.0,2,4.547538033028038
AV-MCPS,No_Estacionario_Lineal,3.0,3,4.764035481802294
AV-MCPS,No_Estacionario_Lineal,3.0,4,5.108887347928126
AV-MCPS,No_Estacionario_Lineal,3.0,5,4.810210016291703
AV-MCPS,No_Lineal,0.2,1,0.2563286007278954
AV-MCPS,No_Lineal,0.2,2,0.3121545004396344
AV-MCPS,No_Lineal,0.2,3,0.2910347736054299
AV-MCPS,No_Lineal,0.2,4,0.2849700675022154
AV-MCPS,No_Lineal,0.2,5,0.28645238515997234
AV-MCPS,No_Lineal,0.5,1,0.4010953643077618
AV-MCPS,No_Lineal,0.5,2,0.4638496013245178
AV-MCPS,No_Lineal,0.5,3,0.47793219204596216
AV-MCPS,No_Lineal,0.5,4,0.47906294753925466
AV-MCPS,No_Lineal,0.5,5,0.4629872848529939
AV-MCPS,No_Lineal,1.0,1,0.5678561595253276
AV-MCPS,No_Lineal,1.0,2,0.6875987500655261
AV-MCPS,No_Lineal,1.0,3,0.6377548372435404
AV-MCPS,No_Lineal,1.0,4,0.6731000155881209
AV-MCPS,No_Lineal,1.0,5,0.6661002235389396
AV-MCPS,No_Lineal,3.0,1,0.9795717585558568
AV-MCPS,No_Lineal,3.0,2,1.1968856540082078
AV-MCPS,No_Lineal,3.0,3,1.1520452747451888
AV-MCPS,No_Lineal,3.0,4,1.176573334561415
AV-MCPS,No_Lineal,3.0,5,1.1435037954669187
Block Bootstrapping,Estacionario_Lineal,0.2,1,0.24540813752816662
Block Bootstrapping,Estacionario_Lineal,0.2,2,0.2477168672003142
Block Bootstrapping,Estacionario_Lineal,0.2,3,0.24808130147985635
Block Bootstrapping,Estacionario_Lineal,0.2,4,0.24909481547641443
Block Bootstrapping,Estacionario_Lineal,0.2,5,0.24879726068626604
Block Bootstrapping,Estacionario_Lineal,0.5,1,0.3893370585256143
Block Bootstrapping,Estacionario_Lineal,0.5,2,0.3954700462405853
Block Bootstrapping,Estacionario_Lineal,0.5,3,0.39347692099254
Block Bootstrapping,Estacionario_Lineal,0.5,4,0.39863452201755506
Block Bootstrapping,Estacionario_Lineal,0.5,5,0.39534726915224977
Block Bootstrapping,Estacionario_Lineal,1.0,1,0.549790848132654
Block Bootstrapping,Estacionario_Lineal,1.0,2,0.5685212529167376
Block Bootstrapping,Estacionario_Lineal,1.0,3,0.5566649057054819
Block Bootstrapping,Estacionario_Lineal,1.0,4,0.5587544125985121
Block Bootstrapping,Estacionario_Lineal,1.0,5,0.5552354858813048
Block Bootstrapping,Estacionario_Lineal,3.0,1,0.9493596343852353
Block Bootstrapping,Estacionario_Lineal,3.0,2,0.96712117694284
Block Bootstrapping,Estacionario_Lineal,3.0,3,0.9581092877206591
Block Bootstrapping,Estacionario_Lineal,3.0,4,0.959197566890697
Block Bootstrapping,Estacionario_Lineal,3.0,5,0.9581290978200507
Block Bootstrapping,No_Estacionario_Lineal,0.2,1,0.24551552892078463
Block Bootstrapping,No_Estacionario_Lineal,0.2,2,0.24834497306405454
Block Bootstrapping,No_Estacionario_Lineal,0.2,3,0.2504110376830477
Block Bootstrapping,No_Estacionario_Lineal,0.2,4,0.24963392359492076
Block Bootstrapping,No_Estacionario_Lineal,0.2,5,0.24893855527512174
Block Bootstrapping,No_Estacionario_Lineal,0.5,1,0.3890419563247771
Block Bootstrapping,No_Estacionario_Lineal,0.5,2,0.3962687186414457
Block Bootstrapping,No_Estacionario_Lineal,0.5,3,0.39506061212631244
Block Bootstrapping,No_Estacionario_Lineal,0.5,4,0.39982200005147595
Block Bootstrapping,No_Estacionario_Lineal,0.5,5,0.3931183424932715
Block Bootstrapping,No_Estacionario_Lineal,1.0,1,0.5553918823815184
