Escenario,Tipo de Modelo,Distribución,Varianza,Paso,ECRPS,Modelo_Predictor
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,3.0,122.8321614363716,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,5.0,121.862886957558,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,4.0,121.2458238009877,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,1.0,120.6715108271085,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,2.0,118.2627613788016,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,5.0,99.12040999435571,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,4.0,93.05779844596954,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,3.0,86.53908690968132,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,2.0,80.63068144292605,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,1.0,76.76611385729836,AREPD
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,3.0,61.8293195578096,AV-MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,2.0,60.43007591707961,AV-MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,4.0,56.43751397350389,AV-MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,5.0,45.55398993635239,AV-MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,1.0,34.25542737501782,AV-MCPS
No_Estacionario_Lineal,"ARIMA(1,1,1)",normal,3.0,4.0,18.25080074292377,AV-MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",exponential,3.0,5.0,17.87414076804984,AV-MCPS
No_Estacionario_Lineal,"ARIMA(1,1,1)",normal,3.0,3.0,17.19762166248715,AV-MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,4.0,13.91138158357103,AV-MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,5.0,13.89954268223204,AV-MCPS
No_Lineal,"TAR(2,1)",mixture,3.0,2.0,3.172213050261768,Block Bootstrapping
No_Lineal,"TAR(2,1)",mixture,3.0,3.0,2.802944296148404,Block Bootstrapping
No_Lineal,"TAR(2,1)",mixture,3.0,4.0,2.294287544795396,Block Bootstrapping
No_Lineal,"SETAR(2,2)",t-student,3.0,2.0,1.811413302312742,Block Bootstrapping
No_Lineal,"TAR(2,1)",uniform,3.0,2.0,1.759865837692485,Block Bootstrapping
No_Lineal,"TAR(2,1)",mixture,3.0,5.0,1.728265547543596,Block Bootstrapping
No_Lineal,"TAR(2,1)",t-student,3.0,3.0,1.664020381840551,Block Bootstrapping
No_Lineal,"SETAR(2,3)",exponential,3.0,5.0,1.505195452436606,Block Bootstrapping
No_Lineal,"TAR(2,1)",mixture,3.0,1.0,1.480931531718682,Block Bootstrapping
No_Lineal,"TAR(2,1)",mixture,1.0,3.0,1.47787518932796,Block Bootstrapping
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,1.0,3.0,39.47170884393321,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",exponential,3.0,5.0,35.87054081587035,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,1.0,28.01041807600979,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,4.0,27.56772833694308,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,3.0,24.63129206946807,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,1.0,2.0,23.9731668034879,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,1.0,1.0,22.33351299762898,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,5.0,21.56568310518163,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,4.0,20.48893677272694,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,3.0,4.0,18.51369092346774,DeepAR
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,1.0,5.0,35.6487209920347,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,1.0,32.89161097204157,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,1.0,4.0,31.14744830098491,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,1.0,3.0,29.42892969281143,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,2.0,28.07803024857984,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,3.0,28.04217210229589,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,4.0,27.05730548380317,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,1.0,1.0,24.00310184992554,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",uniform,3.0,4.0,23.52078686514946,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,0.5,2.0,23.45128003194444,EnCQR-LSTM
No_Estacionario_Lineal,"ARIMA(2,1,2)",exponential,3.0,5.0,9.490062804699347,LSPM
No_Estacionario_Lineal,"ARIMA(1,1,0)",exponential,3.0,1.0,7.858847762682496,LSPM
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,4.0,7.288521848552564,LSPM
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,3.0,6.195608924595322,LSPM
No_Estacionario_Lineal,"ARIMA(2,1,2)",exponential,1.0,4.0,5.63373364111366,LSPM
No_Estacionario_Lineal,"ARIMA(1,1,0)",t-student,3.0,2.0,4.920847341696062,LSPM
No_Estacionario_Lineal,"ARIMA(2,1,0)",t-student,3.0,3.0,4.832999418334893,LSPM
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,5.0,4.716275131645146,LSPM
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,1.0,4.421884725215021,LSPM
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,1.0,3.0,4.27849617622168,LSPM
No_Estacionario_Lineal,"ARIMA(2,1,2)",exponential,3.0,5.0,9.814071362413896,LSPMW
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,4.0,6.952830016995038,LSPMW
No_Estacionario_Lineal,"ARIMA(1,1,0)",exponential,3.0,1.0,6.179925979509347,LSPMW
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,3.0,5.95312003305567,LSPMW
No_Estacionario_Lineal,"ARIMA(2,1,2)",exponential,1.0,4.0,5.509101397962034,LSPMW
No_Estacionario_Lineal,"ARIMA(2,1,0)",t-student,3.0,3.0,5.440325441568721,LSPMW
No_Estacionario_Lineal,"ARIMA(1,1,0)",t-student,3.0,2.0,4.881825601998526,LSPMW
No_Lineal,"SETAR(2,2)",t-student,3.0,3.0,4.585928560364815,LSPMW
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,5.0,4.320090174129525,LSPMW
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,1.0,4.173483755869961,LSPMW
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,3.0,49.65270527338494,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,1.0,48.98275450890314,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,4.0,47.23894738876838,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,5.0,46.95129407774061,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,2.0,46.41924546820062,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,5.0,31.0563698303522,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,4.0,28.2865069796437,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,3.0,23.48075163607444,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,0.5,5.0,23.35712137947974,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,2.0,21.25169779752742,MCPS
No_Estacionario_Lineal,"ARIMA(2,1,0)",t-student,3.0,4.0,34.34107918488723,Sieve Bootstrap
No_Estacionario_Lineal,"ARIMA(1,1,1)",mixture,0.2,4.0,5.673007692476562,Sieve Bootstrap
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,4.0,4.681807348215738,Sieve Bootstrap
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,5.0,4.177878791588316,Sieve Bootstrap
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,1.0,3.8165395785246,Sieve Bootstrap
No_Estacionario_Lineal,"ARIMA(2,1,2)",exponential,3.0,5.0,3.689073380407589,Sieve Bootstrap
No_Estacionario_Lineal,"ARIMA(2,1,2)",mixture,3.0,3.0,3.623684372053519,Sieve Bootstrap
No_Estacionario_Lineal,"ARIMA(2,1,2)",normal,3.0,3.0,3.178000389784854,Sieve Bootstrap
No_Lineal,"TAR(2,1)",mixture,3.0,2.0,3.135459531043231,Sieve Bootstrap
No_Lineal,"TAR(2,1)",mixture,3.0,3.0,2.770353860201802,Sieve Bootstrap
