DATE,IPG2211A2N
2010-01-01,117.4737
2010-02-01,109.1060
2010-03-01,96.8805
2010-04-01,84.9776
2010-05-01,89.4931
2010-06-01,102.9199
2010-07-01,111.4497
2010-08-01,111.5623
2010-09-01,98.8352
2010-10-01,87.7291
2010-11-01,91.4364
2010-12-01,112.8056
2011-01-01,117.9343
2011-02-01,105.8670
2011-03-01,97.6831
2011-04-01,88.0082
2011-05-01,88.7352
2011-06-01,101.3837
2011-07-01,113.2128
2011-08-01,112.0655
2011-09-01,98.0976
2011-10-01,88.9858
2011-11-01,92.3775
2011-12-01,105.7794
2012-01-01,110.2292
2012-02-01,101.8597
2012-03-01,92.0263
2012-04-01,86.1510
2012-05-01,91.3542
2012-06-01,99.6795
2012-07-01,111.6088
2012-08-01,108.4356
2012-09-01,95.3930
2012-10-01,88.8972
2012-11-01,92.8549
2012-12-01,103.5323
2013-01-01,113.6169
2013-02-01,104.9588
2013-03-01,101.2068
2013-04-01,89.2832
2013-05-01,89.3331
2013-06-01,99.1089
2013-07-01,108.6244
2013-08-01,106.7201
2013-09-01,97.7893
2013-10-01,90.2661
2013-11-01,95.5682
2013-12-01,111.7132
2014-01-01,122.2478
2014-02-01,111.0635
2014-03-01,102.9009
2014-04-01,88.4617
2014-05-01,90.4627
2014-06-01,100.077
2014-07-01,106.9483
2014-08-01,106.7093
2014-09-01,98.875
2014-10-01,90.7419
2014-11-01,97.6889
2014-12-01,107.4269
2015-01-01,118.2529
2015-02-01,114.5312
2015-03-01,102.5268
2015-04-01,87.8375
2015-05-01,89.3232
2015-06-01,101.3074
2015-07-01,110.2382
2015-08-01,109.0314
2015-09-01,100.2091
2015-10-01,89.5857
2015-11-01,90.8253
2015-12-01,100.7941
2016-01-01,115.1679
2016-02-01,104.3868
2016-03-01,92.8194
2016-04-01,86.8332
2016-05-01,88.1173
2016-06-01,101.858
2016-07-01,112.473
2016-08-01,113.7736
2016-09-01,100.7214
2016-10-01,89.5034
2016-11-01,91.2201
2016-12-01,112.2975
2017-01-01,114.8134
2017-02-01,98.2094
2017-03-01,99.6332
2017-04-01,85.9072
2017-05-01,89.2037
2017-06-01,99.1942
2017-07-01,109.8524
2017-08-01,106.3908
2017-09-01,95.8099
2017-10-01,90.8123
2017-11-01,95.7453
2017-12-01,114.4282
2018-01-01,126.3772
2018-02-01,106.1898
2018-03-01,103.1246
2018-04-01,92.4309
2018-05-01,93.0783
2018-06-01,103.2585
2018-07-01,113.0918
2018-08-01,113.0433
2018-09-01,101.4001
2018-10-01,94.482
2018-11-01,101.3712
2018-12-01,110.5681
2019-01-01,120.0502
2019-02-01,109.9554
2019-03-01,104.4465
2019-04-01,88.2558
2019-05-01,92.623
2019-06-01,99.6883
2019-07-01,113.9186
2019-08-01,112.3547
2019-09-01,103.1333
2019-10-01,93.8206
2019-11-01,99.9782
2019-12-01,109.9263
2020-01-01,112.9689
